6	10	11201
11	15	7639
16	20	26037
21	25	73502
26	30	182065
31	35	309282
36	40	346077
41	45	387393
46	50	429445
51	55	482292
56	60	497923
61	65	588379
66	70	611611
71	75	710540
76	80	685449
81	85	748172
86	90	810815
91	95	877505
96	100	921695
101	105	925990
106	110	920282
111	115	963916
116	120	1028821
121	125	1081345
126	130	1188805
131	135	1345724
136	140	2039265
141	145	7345671
146	150	125595
151	155	15309
156	160	2954
161	165	1795
166	170	763
171	175	511
176	180	837
181	185	422
186	190	212
191	195	651
196	200	246
201	205	94
206	210	71
211	215	121
216	220	74
221	225	66
226	230	56
231	235	37
236	240	36
241	245	43
246	250	65
251	255	44
256	260	91
261	265	67
266	270	28
271	275	5
